"requirement_id","requirement","status","evidence","proves","gap","next_action"
"REQ-01","Current-site evidence","partial_current","docs/qa/screenshots/stage1-public-trust-current-2026-06-23/report.json; strategy/war-room/current-site-evidence-2026-06-23-rtl.html","Fresh live screenshots and scanner results exist for five public surfaces across desktop, tablet, and mobile.","The run still reports 78 leak matches, 33 visible leak signals, and 3 console errors, so it is not final trust clearance.","Fix visible commerce leakage and the professionals interactivity/H1 issues, then rerun the same capture."
"REQ-02","Lovable-assisted strategy and design prompts","present_imported","handoff/lovable/2026-06-23-war-room-sync/source-manifest.md; handoff/lovable/2026-06-23-war-room-sync/exports/","Lovable strategy hub is imported and source commit is tracked.","No new Lovable commit was available in this pass; Lovable is not the source of truth.","Only re-import when GitHub shows a new strategy-hub commit."
"REQ-03","Page architecture","proven_current_spec","strategy/war-room/page-architecture-map.csv","39 page templates define the money, support, tools, projects, professional, international, and trust surfaces.","Architecture is a build map, not proof that every route is implemented live.","Tie each build PR and content item to page_id."
"REQ-04","Keyword-to-page mapping","proven_current_spec","strategy/war-room/keyword-to-page-owner.csv","225 keyword rows have canonical owners, URL owners, templates, readiness states, and internal-link rules.","Revenue forecasts still need GSC/Semrush validation.","Import GSC/Semrush tabs and review priority order."
"REQ-05","Listings UX spec","present_build_ready_spec_not_built","strategy/10-listings-ux-spec.md; strategy/war-room/listing-seo-execution-packet-rtl.html; strategy/war-room/listing-seo-execution-packet.csv; strategy/war-room/listing-seo-execution-packet-preview-mobile.png; strategy/war-room/ux-build-spec.csv; strategy/war-room/sprint-ready-backlog.csv","Listing/search/detail requirements now include a screenshot-tested listings and SEO execution packet with keyword ownership, anti-cannibalization, data trust, indexation, and release gates.","This still does not prove a production listing UI, verified inventory feed, legal approval, or live SEO implementation.","Use the listings and SEO packet as the next marketplace build checklist and capture route, filter, detail, empty, and lead states."
"REQ-06","Project and showroom UX spec","present_build_ready_spec_not_implemented","strategy/11-project-showroom-3d-spec.md; strategy/war-room/showroom-rebuild-execution-packet-rtl.html; strategy/war-room/showroom-rebuild-execution-packet.csv; strategy/war-room/project-showroom-state-machine-rtl.html; strategy/war-room/project-showroom-state-machine.csv; strategy/war-room/project-showroom-admin-field-matrix.csv; strategy/war-room/project-showroom-unit-schema.json; strategy/war-room/project-showroom-state-machine-preview-mobile.png; docs/qa/screenshots/stage1-public-trust-current-2026-06-23/dimri-yama-sde-dov-mobile-390.png","Project/showroom requirements now include a screenshot-tested rebuild packet plus a 15-state product model, 20 admin fields, unit/asset JSON contract, validation evidence for two sample payloads, and screenshot gates.","Live showroom evidence is still not contractor-sales quality; real developer-approved assets, runtime state-machine implementation, live unit selection, map/tour states, and production lead routing remain open.","Use the showroom rebuild packet and state-machine packet as the next runtime build checklist and recapture every state."
"REQ-07","Visual design direction with references and mockups","present_current_spec_not_final_assets","strategy/war-room/design-system-screen-library-rtl.html; strategy/war-room/design-system-screen-library.csv; strategy/war-room/design-system-screen-library-preview.png; strategy/lovable/preview-3d-map-showroom.png","Visual direction now includes tokens, public language rules, external product references, and 12 screen blueprints.","This is still a specification. It does not replace production WordPress implementation, real contractor assets, or final legal/brand approval.","Use the screen library as the build contract for the first homepage, listings, project, and showroom implementation slices."
"REQ-08","Implementation backlog","proven_current_spec","strategy/war-room/sprint-ready-backlog.csv; strategy/implementation-plan.csv","17 sprint-ready work items and the broader implementation plan are in the repo.","Backlog is not execution proof.","Execute P0 trust, keyword registry approval, showroom, listings, and homepage in order."
"REQ-09","Visible owner artifacts","proven_current_spec","strategy/war-room/owner-output-index-rtl.html; strategy/war-room/objective-completion-audit-rtl.html; strategy/war-room/current-site-evidence-2026-06-23-rtl.html","Owner-readable HTML surfaces exist and are linked from the war-room folder.","Some deeper files remain CSV/MD by design for agents and tooling.","Keep adding RTL HTML summaries for major new packets."
"REQ-10","Step-by-step build execution readiness","partial_ready","strategy/war-room/master-war-room-execution-spec.md; strategy/war-room/sprint-ready-backlog.csv; strategy/war-room/design-system-screen-library.csv; strategy/war-room/showroom-rebuild-execution-packet.csv; strategy/war-room/project-showroom-state-machine.csv; strategy/war-room/listing-seo-execution-packet.csv; strategy/war-room/professionals-directory-product-spec.csv; strategy/war-room/professionals-verification-policy.csv; strategy/war-room/professionals-routing-matrix.csv; strategy/war-room/professional-profile-schema.json; strategy/war-room/admin-war-room-execution-packet.csv; strategy/war-room/analytics-kpi-execution-packet.csv; strategy/war-room/international-investor-execution-packet.csv; strategy/war-room/technical-seo-execution-packet.csv; strategy/war-room/competitor-serp-query-teardown.csv","There is a practical sequence, acceptance gates, screen library, showroom queue, explicit showroom state machine, listings/SEO queue, professionals verification and routing queue, admin governance queue, analytics/KPI queue, international investor queue, technical SEO queue, and competitor/search-intent queue.","Not all prerequisites are satisfied: live trust, real assets, verified inventory, runtime implementation, verified professional database, implemented admin dashboard, live tracking, reviewed English pages, live crawl proof, paid keyword metrics, and post-build performance proof remain open.","Use the sprint backlog, screen library, showroom packet, showroom state machine, listings/SEO packet, professionals packet, admin war-room packet, analytics/KPI packet, international investor packet, technical SEO packet, and competitor/search packet as the build checklist."
"REQ-11","Reusable system for future WordPress sites","present_reusable_spec_not_one_click","handoff/shared-knowledge/skills/; nadlan-3d-ai-replication skill; strategy/war-room/admin-war-room-execution-packet-rtl.html","A reusable process exists as a Codex skill, shared knowledge artifacts, and a registry/admin replication package specification.","A one-click clone/apply workflow for other sites is not implemented yet.","After NadLan stabilizes, package the workflow as a bootstrap script plus owner template."

